,sigma,N_synth,ratio_stable,ratio_with_controller,controller_found
0,0.03162277660168379,1,59.69800000000001,1.0,True
1,0.04124626382901352,1,52.47200000000001,1.0,True
2,0.05379838403443687,1,48.56999999999999,1.0,True
3,0.07017038286703829,1,48.406,1.0,True
4,0.09152473108773893,1,41.424,1.0,True
5,0.11937766417144366,1,37.9,1.0,True
6,0.1557068404753731,1,34.532000000000004,1.0,True
7,0.20309176209047358,1,30.906,1.0,True
8,0.2648969287610528,1,26.992,1.0,True
9,0.34551072945922195,1,24.06,1.0,True
10,0.4506570337745475,1,18.753999999999998,1.0,True
11,0.5878016072274914,1,14.562,1.0,True
12,0.7666822074546215,1,10.762,1.0,True
13,1.0,1,7.526000000000001,1.0,True
14,0.03162277660168379,2,80.58800000000001,1.0,True
15,0.04124626382901352,2,79.82000000000001,1.0,True
16,0.05379838403443687,2,76.77000000000001,1.0,True
17,0.07017038286703829,2,72.604,1.0,True
18,0.09152473108773893,2,70.638,1.0,True
19,0.11937766417144366,2,67.676,1.0,True
20,0.1557068404753731,2,63.41,1.0,True
21,0.20309176209047358,2,57.910000000000004,1.0,True
22,0.2648969287610528,2,49.898,1.0,True
23,0.34551072945922195,2,39.906000000000006,1.0,True
24,0.4506570337745475,2,30.007999999999996,1.0,True
25,0.5878016072274914,2,21.458000000000002,1.0,True
26,0.7666822074546215,2,14.408510638297873,0.94,True
27,1.0,2,8.346938775510203,0.98,True
28,0.03162277660168379,4,93.67999999999999,1.0,True
29,0.04124626382901352,4,93.896,1.0,True
30,0.05379838403443687,4,93.324,1.0,True
31,0.07017038286703829,4,90.58800000000001,1.0,True
32,0.09152473108773893,4,89.96000000000001,1.0,True
33,0.11937766417144366,4,86.136,1.0,True
34,0.1557068404753731,4,83.12978723404255,0.94,True
35,0.20309176209047358,4,76.6413043478261,0.92,True
36,0.2648969287610528,4,67.77073170731708,0.82,True
37,0.34551072945922195,4,56.97428571428571,0.7,True
38,0.4506570337745475,4,48.05,0.44,True
39,0.5878016072274914,4,33.33571428571428,0.28,True
40,0.7666822074546215,4,21.2,0.12,True
41,1.0,4,23.0,0.02,True
42,0.03162277660168379,8,98.22999999999999,1.0,True
43,0.04124626382901352,8,98.042,1.0,True
44,0.05379838403443687,8,97.69800000000001,1.0,True
45,0.07017038286703829,8,96.896,1.0,True
46,0.09152473108773893,8,95.59591836734694,0.98,True
47,0.11937766417144366,8,93.19574468085106,0.94,True
48,0.1557068404753731,8,89.53488372093024,0.86,True
49,0.20309176209047358,8,83.63870967741936,0.62,True
50,0.2648969287610528,8,77.06666666666666,0.3,True
51,0.34551072945922195,8,69.93333333333334,0.06,True
52,0.4506570337745475,8,55.50000000000001,0.02,True
53,0.5878016072274914,8,,0.0,False
54,0.7666822074546215,8,,0.0,False
55,1.0,8,,0.0,False
56,0.03162277660168379,16,99.81,1.0,True
57,0.04124626382901352,16,99.558,1.0,True
58,0.05379838403443687,16,99.296,1.0,True
59,0.07017038286703829,16,98.99183673469388,0.98,True
60,0.09152473108773893,16,97.64782608695653,0.92,True
